symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,version
KEY,"$73,332",Benchmark,120.8,8.02%,"$60,603","$60,320",-77.04%,"$136,166",V2
KEYS,"$33,149",Benchmark,98.3,18.1%,"$21,760","$23,702",-38.89%,"$48,747",V2
KMB,"$597,180",Benchmark,101.8,14.05%,"$148,419","$208,344",-48.05%,"$605,316",V2
KIM,"$380,181",Strategy,88.2,17.13%,"$180,430","$188,939",-51.31%,"$609,685",V2
KMI,"$23,520",Strategy,123.9,9.17%,"$13,364","$13,758",-51.72%,"$26,058",V2
KKR,"$82,186",Benchmark,91.4,23.07%,"$18,574","$31,495",-45.21%,"$141,043",V2
KLAC,"$588,297",Benchmark,139.5,14.18%,"$45,063","$94,596",-92.37%,"$903,175",V2
KHC,"$7,234",Strategy,165.8,-4.7%,"$8,481","$8,746",-64.59%,"$12,502",V2
KR,"$3,770,192",Benchmark,123.0,14.57%,"$305,829","$661,188",-59.22%,"$3,770,193",V2
LHX,"$164,800",Benchmark,125.9,9.83%,"$28,744","$45,524",-67.2%,"$185,581",V2
LH,"$421,752",Strategy,132.6,16.75%,"$107,721","$127,464",-78.05%,"$474,243",V2
LRCX,"$283,927",Benchmark,133.3,12.58%,"$20,076","$66,616",-83.74%,"$650,050",V2
LW,"$12,853",Benchmark,139.9,4.44%,"$17,688","$18,541",-57.12%,"$28,753",V2
LVS,"$74,479",Strategy,144.3,15.43%,"$54,010","$53,868",-83.03%,"$125,256",V2
LDOS,"$40,521",Benchmark,140.8,11.62%,"$10,228","$16,163",-51.33%,"$62,128",V2
LEN,"$599,239",Benchmark,139.8,14.06%,"$73,746","$134,767",-78.36%,"$924,046",V2
LII,"$310,095",Benchmark,92.3,21.41%,"$24,080","$66,420",-56.44%,"$382,167",V2
LYV,"$23,674",Benchmark,121.8,6.7%,"$11,676","$13,426",-80.04%,"$35,585",V2
LKQ,"$31,173",Benchmark,118.4,7.97%,"$38,627","$38,707",-71.75%,"$77,669",V2
L,"$374,376",Benchmark,125.6,12.35%,"$171,713","$201,194",-72.07%,"$506,834",V2
LOW,"$1,203,401",Benchmark,125.2,16.65%,"$194,950","$276,988",-58.91%,"$1,555,103",V2
LULU,"$102,004",Benchmark,121.5,20.98%,"$53,297","$90,531",-68.24%,"$310,764",V2
LYB,"$38,842",Benchmark,125.9,14.09%,"$28,795","$28,462",-54.51%,"$49,685",V2
